 Autogenerated Input
20.10 9 0.50000000 1.1 
 	 R 	 Energy 
   0.94710661 -1.09732437 
   1.14976583 -1.15119569 
   1.39578948 -1.16764395 
   1.69445659 -1.15665558 
   2.05703166 -1.12761476 
   2.49718950 -1.08968479 
   3.03153109 -1.05205970 
   3.68020960 -1.02323508 
   4.46769051 -1.00742991 
   5.42367435 -1.00162525 
   6.58421694 -1.00021841 
   7.99308918 -0.99999475 
   9.70342794 -0.99997027 
   11.77974017 -0.99996746 
   14.30033586 -0.99996684 
   17.36028154 -0.99996667 
   21.07498578 -0.99996662 
   25.58455199 -0.99996660 
   31.05906251 -0.99996659 
   37.70499341 -0.99996659 

